request_rate,ip_entropy,inter_arrival_mean,inter_arrival_std,http_method_ratio,unique_path_ratio,unique_ip_count,post_ratio,label
5.4,4.236368983644952,0.1651860475540161,0.32568634686352343,0.9259259259259259,0.4444444444444444,20,0.07407407407407407,0
4.2,3.9161269465882835,0.18551414012908934,0.2899454988395879,0.9523809523809523,0.5714285714285714,16,0.047619047619047616,0
3.8,3.7216117239699007,0.21072765191396078,0.27764046431218437,0.9473684210526315,0.5789473684210527,14,0.05263157894736842,0
3.8,3.8268748818646365,0.26838330427805585,0.2605171611206418,0.9473684210526315,0.6842105263157895,15,0.05263157894736842,0
4.6,4.088779347361361,0.21658406474373557,0.24004731244677388,0.9565217391304348,0.6521739130434783,18,0.043478260869565216,0
5.0,4.163856189774723,0.1949970026810964,0.20138996295797823,1.0,0.68,19,0.0,0
4.6,4.001822825622231,0.19283654473044656,0.19443455184701844,1.0,0.6956521739130435,17,0.0,0
5.4,4.088220835496803,0.18655789815462553,0.18527762659919034,0.9629629629629629,0.6666666666666666,18,0.037037037037037035,0
5.4,4.088220835496803,0.18977224826812744,0.18468893426243244,0.9259259259259259,0.6296296296296297,18,0.07407407407407407,0
5.0,4.083856189774723,0.19595463077227274,0.1670581483824209,0.84,0.6,18,0.16,0
4.4,4.095795255000932,0.2128147738320487,0.12970067410564495,0.8181818181818182,0.6818181818181818,18,0.18181818181818182,0
5.4,4.162294909570877,0.18265749857975885,0.12799412920215708,0.8148148148148148,0.6666666666666666,19,0.18518518518518517,0
4.8,4.16829583405449,0.20644517566846765,0.12831979603747778,0.8333333333333334,0.625,19,0.16666666666666666,0
4.0,4.1219280948873624,0.2508355316362883,0.23036767271578912,0.85,0.65,18,0.15,0
3.8,3.9321380397593733,0.2647685872183906,0.24564163336871825,0.9473684210526315,0.7368421052631579,16,0.05263157894736842,0
4.6,3.9148663038831004,0.22204334085637872,0.2416286096580721,0.9565217391304348,0.5652173913043478,16,0.043478260869565216,0
4.2,4.011365041826378,0.23749245405197145,0.25505930966685186,1.0,0.6190476190476191,17,0.0,0
4.2,4.106603137064474,0.19412659406661986,0.18587879460804255,1.0,0.7142857142857143,18,0.0,0
4.6,4.088779347361362,0.19624543190002441,0.17309026372071745,1.0,0.6956521739130435,18,0.0,0
4.8,4.001629167387823,0.2056580004484757,0.15635258212266212,1.0,0.6666666666666666,17,0.0,0
4.4,3.913977073182751,0.22134136018298922,0.1500993125736669,0.9545454545454546,0.5909090909090909,16,0.045454545454545456,0
3.8,3.8268748818646365,0.25739673773447674,0.14379863615535282,0.9473684210526315,0.47368421052631576,15,0.05263157894736842,0
4.2,3.9161269465882835,0.24374773502349853,0.2546778168616841,0.9047619047619048,0.47619047619047616,16,0.09523809523809523,0
4.2,4.011365041826378,0.24251575469970704,0.29841333064918935,0.8571428571428571,0.47619047619047616,17,0.14285714285714285,0
4.2,3.916126946588283,0.23999418020248414,0.30365143973221836,0.8571428571428571,0.42857142857142855,16,0.14285714285714285,0
3.8,3.826874881864637,0.2519535223642985,0.32066173430030814,0.8421052631578947,0.3684210526315789,15,0.15789473684210525,0
3.8,3.932138039759373,0.22495398256513807,0.3014965798590415,0.8421052631578947,0.42105263157894735,16,0.15789473684210525,0
3.6,3.94770277922009,0.2744306816774256,0.2944054802515703,0.8888888888888888,0.5555555555555556,16,0.1111111111111111,0
4.4,4.004886164091841,0.2176238468715123,0.2446210334348873,0.9545454545454546,0.5909090909090909,17,0.045454545454545456,0
4.0,4.1219280948873624,0.23768343423542224,0.2714671077596916,0.95,0.55,18,0.05,0
4.4,4.095795255000932,0.20155499095008486,0.2132626137507571,1.0,0.5454545454545454,18,0.0,0
4.8,4.084962500721157,0.2014347159344217,0.20778305282618773,0.9583333333333334,0.5833333333333334,18,0.041666666666666664,0
4.4,4.004886164091841,0.21600085213070824,0.19767759420793973,0.9545454545454546,0.6363636363636364,17,0.045454545454545456,0
4.0,3.9219280948873623,0.25144784074080617,0.18803706992492328,0.95,0.65,16,0.05,0
4.8,3.91829583405449,0.21304434278736945,0.15640986416383929,0.9583333333333334,0.5,16,0.041666666666666664,0
4.4,3.9139770731827506,0.21570525850568498,0.13528700626255638,0.9545454545454546,0.5454545454545454,16,0.045454545454545456,0
4.6,3.969001629875993,0.21726006811315363,0.16330660933971572,1.0,0.4782608695652174,17,0.0,0
5.2,4.085055102756476,0.1963680076599121,0.14989682965569334,0.9615384615384616,0.5769230769230769,18,0.038461538461538464,0
4.8,4.084962500721157,0.2049373025479524,0.16781142571248847,0.9583333333333334,0.7083333333333334,18,0.041666666666666664,0
4.6,4.088779347361362,0.20888545296408914,0.15537731801620203,0.9565217391304348,0.6956521739130435,18,0.043478260869565216,0
4.2,4.011365041826379,0.23536968231201172,0.17319537512731234,0.9523809523809523,0.7619047619047619,17,0.047619047619047616,0
4.8,3.8349625007211565,0.20028098769809888,0.1528713256594091,0.9166666666666666,0.7083333333333334,15,0.08333333333333333,0
3.8,3.826874881864636,0.23712445629967582,0.23278922446875575,0.9473684210526315,0.7894736842105263,15,0.05263157894736842,0
5.0,4.083856189774723,0.20281060536702475,0.2282451110958792,0.88,0.56,18,0.12,0
4.6,4.088779347361362,0.1800851063294844,0.22153884202522,0.8695652173913043,0.5652173913043478,18,0.13043478260869565,0
5.2,4.085055102756476,0.19313224792480468,0.23684106037255515,0.8846153846153846,0.5769230769230769,18,0.11538461538461539,0
4.2,4.011365041826379,0.2018147110939026,0.2039838934783454,0.8571428571428571,0.5714285714285714,17,0.14285714285714285,0
4.8,4.001629167387823,0.2006375789642334,0.19086138325969684,0.875,0.5,17,0.125,0
4.2,4.011365041826378,0.24159265756607057,0.18699675476137015,0.9047619047619048,0.5714285714285714,17,0.09523809523809523,0
4.2,4.201841232302569,0.23197511434555054,0.15114004851605967,0.9047619047619048,0.47619047619047616,19,0.09523809523809523,0
4.2,4.011365041826378,0.24486492872238158,0.14185317900900624,0.8571428571428571,0.47619047619047616,17,0.14285714285714285,0
4.4,3.9139770731827506,0.19092783473786853,0.13065883797190744,0.9090909090909091,0.5454545454545454,16,0.09090909090909091,0
4.2,4.011365041826378,0.2374063491821289,0.23492482506240914,0.9047619047619048,0.6190476190476191,17,0.09523809523809523,0
4.6,4.088779347361362,0.22261319377205588,0.23050952399784774,0.9565217391304348,0.6521739130434783,18,0.043478260869565216,0
4.4,4.095795255000932,0.22168691953023276,0.24892134638158236,0.9090909090909091,0.6818181818181818,18,0.09090909090909091,0
3.8,4.03740119765411,0.24643990728590223,0.26596703338763816,0.9473684210526315,0.6842105263157895,17,0.05263157894736842,0
4.6,3.9148663038831004,0.20846969431096857,0.1741201298298404,0.9130434782608695,0.5217391304347826,16,0.08695652173913043,0
4.6,3.82790978214397,0.2134577144276012,0.1914641199913285,0.9130434782608695,0.4782608695652174,15,0.08695652173913043,0
5.0,4.163856189774723,0.1937221884727478,0.19015872303837805,0.88,0.44,19,0.12,0
5.6,4.235926350629033,0.17007055105986418,0.16308223877227762,0.8928571428571429,0.4642857142857143,20,0.10714285714285714,0
5.8,4.21126073643228,0.1724964209965297,0.16713353070378387,0.8620689655172413,0.5172413793103449,20,0.13793103448275862,0
5.0,4.163856189774724,0.1922699213027954,0.16742523188183198,0.88,0.68,19,0.12,0
5.6,4.164497779200462,0.1783565945095486,0.14384002672631488,0.8928571428571429,0.6428571428571429,19,0.10714285714285714,0
4.8,4.16829583405449,0.2049500734909721,0.1697964612014146,0.875,0.625,19,0.125,0
5.0,4.163856189774723,0.20681064327557883,0.16975726266808186,0.88,0.6,19,0.12,0
5.4,4.236368983644952,0.18561062446007362,0.1463121478057833,0.9259259259259259,0.48148148148148145,20,0.07407407407407407,0
5.0,4.243856189774723,0.18874274690945944,0.14802298122696914,0.92,0.44,20,0.08,0
4.6,4.1757358691004915,0.21423738653009589,0.16979031376265377,0.9130434782608695,0.5217391304347826,19,0.08695652173913043,0
4.6,3.914866303883101,0.21968757022510876,0.15839450343785302,0.9565217391304348,0.6086956521739131,16,0.043478260869565216,0
4.0,3.821928094887362,0.25184266190779836,0.1933340710718403,0.95,0.6,15,0.05,0
3.4,3.5724694587701364,0.29129698872566223,0.2490800692401261,0.8823529411764706,0.7647058823529411,13,0.11764705882352941,0
5.0,4.003856189774724,0.19961300492286682,0.21431739200923933,0.92,0.72,17,0.08,0
4.8,4.001629167387823,0.20654426450314728,0.224345801672819,0.9166666666666666,0.6666666666666666,17,0.08333333333333333,0
3.8,4.142664355548846,0.26847108205159503,0.31819863250506775,0.8947368421052632,0.7368421052631579,18,0.10526315789473684,0
4.6,4.001822825622232,0.22344281456687234,0.2841662148549614,0.8695652173913043,0.6521739130434783,17,0.13043478260869565,0
5.0,4.003856189774724,0.2055711547533671,0.24833254416901643,0.88,0.6,17,0.12,0
3.6,3.6143694458867563,0.2705193968380199,0.27085894237343033,0.8333333333333334,0.6666666666666666,13,0.16666666666666666,0
4.0,3.9219280948873623,0.20193504032335782,0.15435718717945912,0.85,0.65,16,0.15,0
4.4,4.095795255000932,0.21895348458063035,0.16908491595965783,0.8636363636363636,0.6363636363636364,18,0.13636363636363635,0
4.0,4.021928094887363,0.2551836089084023,0.15016540658698116,0.95,0.75,17,0.05,0
3.6,3.8365916681089787,0.22835671200471766,0.14076924262661025,1.0,0.7222222222222222,15,0.0,0
4.0,3.8219280948873626,0.23676507096541555,0.18279725219898516,0.95,0.75,15,0.05,0
4.0,4.1219280948873624,0.21842536173368754,0.1918973253448416,0.95,0.65,18,0.05,0
4.4,4.095795255000931,0.23025057429359072,0.1965110941505706,0.9090909090909091,0.5909090909090909,18,0.09090909090909091,0
4.4,4.186704345910023,0.20577143487476168,0.20524057881925645,0.8181818181818182,0.5,19,0.18181818181818182,0
4.8,4.084962500721157,0.21522473252337912,0.21076025815975247,0.8333333333333334,0.5416666666666666,18,0.16666666666666666,0
4.6,4.088779347361362,0.20549144528128885,0.20676459926402835,0.8260869565217391,0.5217391304347826,18,0.17391304347826086,0
4.6,4.001822825622231,0.22110699523578992,0.18004482580900485,0.8260869565217391,0.5652173913043478,17,0.17391304347826086,0
4.2,4.011365041826378,0.24747939109802247,0.23617503079874555,0.8571428571428571,0.6666666666666666,17,0.14285714285714285,0
3.8,4.03740119765411,0.2546387248569065,0.1972276452064149,0.9473684210526315,0.6842105263157895,17,0.05263157894736842,0
3.8,3.9321380397593733,0.26097963915930855,0.21468511927061706,0.9473684210526315,0.5789473684210527,16,0.05263157894736842,0
